French,English,Spanish
partie,part,parte
histoire,history,historia
chercher,search,buscar
seulement,only,solo
police,police,policía
pensais,thought,pensamiento
aide,help,ayudar
demande,request,solicitud
genre,kind,amable
mois,month,mes
frère,brother,hermano
laisser,let,dejar
car,because,porque
mettre,to put,poner
aucun,no,no
laisse,leash,Correa
eux,them,ellos
ville,city,ciudad
chaque,each,cada
parlé,speak,hablar
arrivé,come,venir
devrait,should,debería
bébé,baby,bebé
longtemps,long time,largo tiempo
heures,hours,horas
vont,will,voluntad
pendant,while,tiempo
revoir,meet again,reunirse de nuevo
aucune,any,alguna
place,square,cuadrado
parle,speak,hablar
compris,understood,entendí
savais,knew,supo
étaient,were,fueron
attention,Warning,Advertencia
voici,here is,aquí está
pourrais,could,podría
affaire,case,caso
donner,give,dar
type,type,escribe
leurs,their,su
donné,given,dado
train,train,tren
corps,body,cuerpo
endroit,place,lugar
yeux,eyes,ojos
façon,way,manera
écoute,listen,escucha
dont,whose,cuyo
trouve,find,encontrar
premier,first,primero
perdu,lost,perdió
main,hand,mano
première,first,primero
côté,side,lado
pouvoir,power,poder
vieux,old,antiguo
sois,be,ser
tiens,here,aquí
matin,morning,Mañana
tellement,so much,mucho
enfant,child,niño
point,point,punto
venu,came,vino
suite,after,después
pardon,sorry,lo siento
venez,come,venir
devant,in front of,en frente de
vers,towards,hacia
minutes,minutes,minutos
demandé,request,solicitud
chambre,bedroom,habitación
mis,placed,metido
belle,beautiful,hermosa
droit,law,ley
aimerais,would like to,gustaria
aujourd'hui,today,hoy
mari,husband,esposo
cause,cause,causa
enfin,finally,finalmente
espère,hope,esperanza
eau,water,agua
attendez,Wait,Esperar
parti,left,izquierda
nouvelle,new,nuevo
boulot,job,trabajo
arrêter,Stop,Parada
dirait,would say,diría
terre,Earth,Tierra
compte,account,cuenta
donne,given,dado
loin,far,lejos
fin,end,fin
croire,believe,creer
chérie,sweetheart,cariño
gros,large,largo
plutôt,rather,bastante
aura,will have,tendrá
filles,girls,muchachas
jouer,to play,para jugar
